Iteration	Predictor	CV	Log.Likelihood
1	S100A4	0.148214369422721	-46.3968875632171
2	S100A11	0.128397945570859	-41.1404757094939
3	CMPK1	0.111799166054434	-38.0509863480384
4	IFI27	0.105694378769794	-34.0626136225596
5	COTL1	0.0951709573036034	-30.6702055182614
6	ZFP36	0.0892117806704274	-25.2217613424394
7	TUBA1A	0.0883597719654186	-21.561014129136
8	ACTG1	0.0630103419987941	-18.9410329829338
9	DEF6	0.0614481791852139	-17.9358927078201
10	RPLP2	0.0555577084646549	-16.1118144560212
11	NAAA	0.0492971948966301	-14.1651103807762
12	SDHAF2	0.051769205463297	-13.5296777615989
13	FYN	0.0483013511765071	-12.5274534504753
14	CLEC2D	0.100245371495097	-5.24493083674425e-09
15	CLPP	0.0399996340017077	-2.43822551335411e-09
16	GRSF1	0.0200009258829195	-2.08212913793962e-09
17	ANXA1	0.0225219418038327	-1.87451265796498e-09
18	NCOR1	0.020000000004488	-1.76536174723413e-09
19	RHOT2	0.020378486136842	-1.69563041529359e-09
20	ATP5O	0.0400000061100773	-1.66566627296471e-09
21	RBM25	0.0362814113307618	-1.63801516929003e-09
22	RPLP1	0.0489228410757217	-1.62337232677207e-09
23	GNLY	0.0501766757034368	-1.5977040814237e-09
24	NCOA4	0.0500000076369104	-1.57623569876245e-09
25	RP11660L162	0.0575048917640136	-1.53544088672604e-09
26	ZNF428	0.0399999999979094	-1.51638857141598e-09
27	NUDT2	0.0404114219351177	-1.47803780435202e-09
28	FAM104A	0.0400003377624126	-1.43474876526891e-09
29	WSB1	0.0616657657381249	-1.41892786510082e-09
30	RP11347P51	0.0495165613307904	-1.33863475949238e-09
31	FMNL1	0.0698884341122511	-1.33349209541315e-09
32	UPF3B	0.0756321463444669	-1.31161703806312e-09
33	LYSMD2	0.0894581700391908	-1.30629662727755e-09
34	GSDMD	0.09000931942323	-1.30440014430441e-09
35	H3F3B	0.124883671108844	-1.29295474410638e-09
36	ARHGAP15	0.100495073266186	-1.28954780270631e-09
37	HNRNPA0	0.138176878409524	-1.28334321030291e-09
38	SHARPIN	0.122473525631368	-1.22982635262354e-09
39	PSAP	0.121864293295002	-1.07371500637133e-09
40	TUBB4B	0.0967615458619946	-9.14554654648165e-10
41	GPX1	0.0988158511841664	-8.24862511968254e-10
42	TBC1D10C	0.0950199063151589	-7.70517538958712e-10
43	NECAP2	0.0940706798373097	-7.40965733489209e-10
44	NFKBIA	0.05560604756055	-6.54134968628101e-10
45	NDUFS3	0.0693433735036006	-6.09772010848279e-10
46	GSTP1	0.0678742788515728	-5.99100769173737e-10
47	CITED2	0.0203677036116647	-5.71568570414547e-10
48	EEF2	0.0397438893631753	-5.36629185676419e-10
49	MTND5	0.0408524755751074	-5.28904475911566e-10
50	ARID5B	0.000297513354885987	-5.2627513472096e-10
