GATA2	FLT3	CD99	GATA1	MME	LTB	MPO
Data_1	-0.445018247374538	-0.148294913657202	-0.210980379136154	-0.635082255225613	-0.482524498934012	0.191279023835316	-0.210734100751395
Data_2	-0.325531339787186	-0.189407449817239	-0.887183716249392	-0.386912461696262	-0.482524498934012	-0.758816070462808	-0.134005993143475
Data_3	0.152091698728058	-0.184757309818547	-0.605291845295409	-0.635082255225613	-0.482524498934012	-0.655047433238835	-0.276470060384968
Data_4	0.174565033532412	-0.344224158169713	0.0948944121596528	0.0537937896165688	0.169141827672089	-0.217204220642266	-0.111771406609791
Data_5	-0.219921603325543	0.301008859538811	0.312941280021422	-0.54419051950729	1.23874547002537	0.123193781702405	-0.357910157724808
Data_6	0.537923322922487	-0.257835264280904	-0.911583650003815	-0.0457712350440196	-0.482524498934012	-0.798260324955662	-0.290605736571454
Data_7	0.519791798870629	-0.234097908327013	-0.72232407757097	0.0611494944415746	-0.0207597380133141	-0.627671335383778	-0.310542170227548
Data_8	-0.253260565397919	0.0272720301597494	0.267411845837033	-0.13099970454409	-0.482524498934012	-0.461519529441295	-0.357910157724808
Data_9	0.32210662176859	0.36090250769375	-1.23701657211468	-0.552943747333382	-0.482524498934012	-0.866565664616072	-0.284535241241913
Data_10	0.426483625720736	-0.418787543257526	-0.897532094216361	-0.213788659220118	-0.482524498934012	-0.48939699839003	-0.357910157724808
Data_11	-0.445688179853831	0.24967398087106	-0.00176428836066094	-0.635082255225613	-0.192816684292315	-0.303771410261738	-0.357910157724808
Data_12	0.0241764657263471	0.821422831275402	-0.853326034639716	-0.556024525716402	-0.482524498934012	-0.183825740283586	-0.357910157724808
Data_13	-0.4975678916998	-0.23386949403876	-1.11900026897372	0.37483729326173	-0.482524498934012	-0.676891061518538	-0.357910157724808
Data_14	0.369014893873605	0.858096370221517	-0.212520925177235	-0.397137367871639	-0.482524498934012	-0.170330944663594	-0.250178219421776
Data_15	0.020844469963347	-0.231412314875363	-0.243417826404858	1.36141501559345	-0.482524498934012	0.21994105643445	0.261286703011907
Data_16	0.0798995252484643	0.31671410945134	0.33187492398401	-0.635082255225613	-0.482524498934012	-0.215258621180106	-0.357910157724808
Data_17	-0.303404195283825	-0.0129041817288094	-1.38214639651305	-0.635082255225613	-0.482524498934012	-0.685375797517757	-0.243363545297217
Data_18	0.0953523021327674	-0.676574258340701	-1.06474581103558	-0.0217532883609688	-0.482524498934012	-0.760153115270739	-0.357910157724808
Data_19	0.135886505729058	0.333890845779976	-0.106339903479785	-0.635082255225613	-0.0767420457980141	-0.422945366188519	0.00846419090489268
Data_20	-0.0854989051096521	0.488599432691625	0.432555442771062	-0.635082255225613	-0.482524498934012	0.381314764125621	-0.357910157724808
Data_21	-1.12683745405313	0.313907978433673	0.163103139118743	-0.635082255225613	-0.190626309397539	0.273131889050594	-0.357910157724808
Data_22	0.091903060313901	0.409882334187889	0.0147313589866608	-0.484281263993062	-0.482524498934012	0.277789410207422	-0.210274882479021
Data_23	-0.436287612995409	0.449367322406438	0.0397234229227604	-0.635082255225613	-0.482524498934012	0.545056355812057	-0.357910157724808
Data_24	-0.36596407785034	0.65471249883408	-0.278722448122313	-0.379799788726533	-0.482524498934012	0.435290858459258	0.0488690491632313
Data_25	-0.980993953463149	0.895111541831537	-0.451820287740109	-0.635082255225613	-0.482524498934012	0.414308206934087	-0.357910157724808
Data_26	-0.449076604208073	0.549656732388339	-0.115000514612747	-0.635082255225613	-0.482524498934012	0.594629690195077	-0.357910157724808
Data_27	-0.390114044343276	0.18137788990992	-0.0573345172206354	-0.635082255225613	-0.212544433698982	0.364377643918885	-0.357910157724808
Data_28	-0.280118738014311	1.12293141390938	-0.191976149497784	-0.089445695510516	-0.0992157121557842	0.506978720472035	-0.241727893604764
Data_29	-0.549807304675999	0.618777097456663	0.727986136253961	-0.635082255225613	-0.482524498934012	-0.332562045855129	-0.357910157724808
Data_30	-0.4166009888587	0.736013572137545	-0.333887679236021	-0.635082255225613	0.133806205282136	0.460261410761963	-0.305139806348168
Data_31	-0.187986948131735	1.04278419637785	-0.140777599054558	-0.531115887588675	-0.147373459153326	0.0223775932630743	-0.357910157724808
Data_32	-0.131193937400192	1.00488525556195	-0.296246470375326	-0.499452542965235	-0.482524498934012	-0.2773474691942	-0.170809068472775
Data_33	-0.289040162500343	0.965559232998207	0.48320986210242	-0.635082255225613	0.359736865738613	-0.0281601336205201	-0.357910157724808
Data_34	-0.751061954714894	-0.830177713589737	-0.0991083569239566	-0.352076904861959	-0.482524498934012	-0.184401237796004	-0.120685106058708
Data_35	-1.10153838530812	1.3378800007266	-0.105165448738156	-0.635082255225613	-0.482524498934012	-0.339694760754901	-0.357910157724808
Data_36	-0.338868709830539	0.564546791892535	-0.294944466287615	-0.635082255225613	-0.372120952723709	0.0258754608399805	-0.284359482021652
Data_37	-0.57213423512599	1.81534792291592	-0.223957225864796	-0.635082255225613	-0.482524498934012	0.527325419485563	-0.357910157724808
